,,0
50,Country Code,COG
50,1960,1018254
50,1964,1125354
50,1968,1253761
50,1972,1406510
50,1976,1582361
50,1980,1777932
50,1984,1996994
50,1988,2231462
50,1992,2489945
50,1996,2785815
50,2000,3127420
50,2004,3510468
50,2008,4011487
50,2012,4510197
50,2016,4980996
50,2020,5518092
51,Country,Costa Rica
51,Country Code,CRI
51,1960,1330787
51,1964,1539942
51,1968,1747690
51,1972,1944170
51,1976,2148681
51,1980,2389973
51,1984,2664220
51,1988,2960932
51,1992,3286525
51,1996,3632361
51,2000,3962369
51,2004,4225156
51,2008,4463123
51,2012,4688003
51,2016,4899336
51,2020,5094114
52,Country,Cote d'Ivoire
52,Country Code,CIV
52,1960,3503559
52,1964,4071411
52,1968,4713134
52,1972,5576026
52,1976,6713949
52,1980,8033652
52,1984,9530103
52,1988,11094740
52,1992,12812428
52,1996,14665125
52,2000,16454660
52,2004,17970493
52,2008,19605568
52,2012,21547188
52,2016,23822726
52,2020,26378275
53,Country,Croatia
53,Country Code,HRV
53,1960,4140181
53,1964,4252876
53,1968,4365628
53,1972,4450564
53,1976,4535934
53,1980,4599782
53,1984,4680285
53,1988,4755207
53,1992,4575818
53,1996,4557097
53,2000,4468302
53,2004,4304600
53,2008,4309705
53,2012,4267558
53,2016,4174349
53,2020,4047200
54,Country,Cuba
54,Country Code,CUB
54,1960,7141241
54,1964,7793258
54,1968,8413549
54,1972,9025347
54,1976,9554186
54,1980,9849457
54,1984,10031651
54,1988,10397519
54,1992,10736386
54,1996,10939285
54,2000,11126423
54,2004,11250369
54,2008,11236975
54,2012,11257112
54,2016,11335108
54,2020,11326616
55,Country,Curacao
55,Country Code,CUW
55,1960,124826
55,1964,133148
55,1968,140298
55,1972,147710
55,1976,149399
55,1980,148041
55,1984,151940
55,1988,149254
55,1992,143912
55,1996,146306
55,2000,133860
55,2004,134192
55,2008,145880
55,2012,152088
55,2016,159664
55,2020,155014
56,Country,Cyprus
56,Country Code,CYP
56,1960,572933
56,1964,578628
56,1968,598495
56,1972,628002
56,1976,657524
56,1980,685408
56,1984,697715
56,1988,736476
56,1992,800610
56,1996,873426
56,2000,943288
56,2004,1010410
56,2008,1081568
56,2012,1135046
56,2016,1170189
56,2020,1207361
57,Country,Czech Republic
57,Country Code,CZE
57,1960,9602006
57,1964,9727804
57,1968,9876346
57,1972,9867632
57,1976,10125939
57,1980,10304193
57,1984,10330213
57,1988,10355276
57,1992,10319123
57,1996,10315241
57,2000,10255063
57,2004,10197101
57,2008,10384603
57,2012,10510785
57,2016,10566332
57,2020,10698896
58,Country,Denmark
58,Country Code,DNK
58,1960,4579603
58,1964,4722072
58,1968,4864883
58,1972,4991596
58,1976,5072596
58,1980,5123027
58,1984,5111619
58,1988,5129516
58,1992,5171370
58,1996,5263074
58,2000,5339616
58,2004,5404523
58,2008,5493621
58,2012,5591572
58,2016,5728010
58,2020,5831404
59,Country,Djibouti
59,Country Code,DJI
59,1960,83634
59,1964,107582
59,1968,140462
59,1972,179237
59,1976,248556
59,1980,358960
59,1984,406018
59,1988,528993
59,1992,615050
59,1996,643649
59,2000,717577
59,2004,771599
59,2008,816361
59,2012,868136
59,2016,929117
59,2020,988002
60,Country,Dominica
60,Country Code,DMA
60,1960,60020
60,1964,63921
60,1968,69034
60,1972,71731
60,1976,72662
60,1980,75318
60,1984,73846
60,1988,71212
60,1992,70546
60,1996,70933
60,2000,69650
60,2004,70387
60,2008,70829
60,2012,70954
60,2016,71307
60,2020,71991
61,Country,Dominican Republic
61,Country Code,DOM
61,1960,3294222
61,1964,3757123
61,1968,4247559
61,1972,4755464
61,1976,5275767
61,1980,5803929
61,1984,6331760
61,1988,6863438
61,1992,7408339
61,1996,7952766
61,2000,8471317
61,2004,8974444
61,2008,9458079
61,2012,9930916
61,2016,10397738
61,2020,10847904
62,Country,Early-demographic dividend
62,Country Code,EAR
62,1960,980003345
62,1964,1077531237
62,1968,1187474694
62,1972,1309397210
62,1976,1442862522
62,1980,1589897378
62,1984,1758863284
62,1988,1937278919
62,1992,2117785781
62,1996,2294576653
62,2000,2472852816
62,2004,2646483605
62,2008,2820636607
62,2012,2994346938
62,2016,3164439749
62,2020,3332105361
63,Country,East Asia & Pacific
63,Country Code,EAS
63,1960,1041673567
63,1964,1109291332
63,1968,1224481196
63,1972,1355934840
63,1976,1467572978
63,1980,1559219642
63,1984,1659196213
63,1988,1767394678
63,1992,1872676768
63,1996,1965146473
63,2000,2047640091
63,2004,2115458625
63,2008,2177119138
63,2012,2236817711
63,2016,2298500738
63,2020,2352037717
64,Country,East Asia & Pacific (excluding high income)
64,Country Code,EAP
64,1960,894875757
64,1964,952494226
64,1968,1057848841
64,1972,1176909425
64,1976,1277786882
64,1980,1360437112
64,1984,1451901724
64,1988,1553548236
64,1992,1652528279
64,1996,1738949771
64,2000,1816455800
64,2004,1880248912
64,2008,1938057262
64,2012,1994389913
64,2016,2053107304
64,2020,2105003391
65,Country,East Asia & Pacific (IDA & IBRD countries)
65,Country Code,TEA
65,1960,883445587
65,1964,940205341
65,1968,1044230688
65,1972,1161692236
65,1976,1261221802
65,1980,1342952249
65,1984,1433295157
65,1988,1533819032
65,1992,1631566861
65,1996,1716810410
65,2000,1793498345
65,2004,1856486255
65,2008,1913718217
65,2012,1969561377
65,2016,2027772092
65,2020,2079198305
66,Country,Ecuador
66,Country Code,ECU
66,1960,4543658
66,1964,5093848
66,1968,5725462
66,1972,6429377
66,1976,7187794
66,1980,7989178
66,1984,8843463
66,1988,9755576
66,1992,10716131
66,1996,11703169
66,2000,12681123
66,2004,13596390
66,2008,14535740
66,2012,15474099
66,2016,16491116
66,2020,17643060
67,Country,"Egypt, Arab Rep."
67,Country Code,EGY
67,1960,26632891
67,1964,29644875
67,1968,32881852
67,1972,36102670
67,1976,39422731
67,1980,43309063
67,1984,47968643
67,1988,53399243
67,1992,58666812
67,1996,63601632
67,2000,68831561
67,2004,74172073
67,2008,79636081
67,2012,86422240
67,2016,94447071
67,2020,102334403
68,Country,El Salvador
68,Country Code,SLV
68,1960,2766319
68,1964,3109571
68,1968,3481624
68,1972,3867310
68,1976,4247508
68,1980,4591135
68,1984,4871041
68,1988,5133273
68,1992,5416327
68,1996,5689943
68,2000,5887930
68,2004,6023801
68,2008,6131767
68,2012,6237922
68,2016,6356137
68,2020,6486201
69,Country,Equatorial Guinea
69,Country Code,GNQ
69,1960,255338
69,1964,270616
69,1968,299416
69,1972,289508
69,1976,247969
69,1980,249931
69,1984,331554
69,1988,394973
69,1992,447269
69,1996,515844
69,2000,606180
69,2004,716949
69,2008,860839
69,2012,1031191
69,2016,1215181
69,2020,1402985
70,Country,Eritrea
70,Country Code,ERI
70,1960,1007586
70,1964,1118152
70,1968,1242633
70,1972,1384789
70,1976,1547978
70,1980,1733423
70,1984,1946299
70,1988,2185607
70,1992,2257593
70,1996,2196467
70,2000,2292413
70,2004,2719809
70,2008,3062782
70,2012,..
70,2016,..
70,2020,..
71,Country,Estonia
71,Country Code,EST
71,1960,1211537
71,1964,1277086
71,1968,1331214
71,1972,1392518
71,1976,1439576
71,1980,1477219
71,1984,1518617
71,1988,1561900
71,1992,1533091
71,1996,1415594
71,2000,1396985
71,2004,1362550
71,2008,1337090
71,2012,1322696
71,2016,1315790
71,2020,1331057
72,Country,Eswatini
72,Country Code,SWZ
72,1960,336578
72,1964,365120
72,1968,406508
72,1972,457039
72,1976,515602
72,1980,587852
72,1984,675240
72,1988,773774
72,1992,866995
72,1996,945506
72,2000,1005432
72,2004,1026287
72,2008,1049948
72,2012,1079285
72,2016,1113994
72,2020,1160164
