,Year,Host_City,Host_Country,Country,Country_Code,Gold,Silver,Bronze,M_Total,Men,Women,P_Total,Population,P_TotalPer10MPop,Continent
242,1984,"Stoke Mandeville, New York","Great Britain, United States of America",Zimbabwe,ZIM,0,1,2,3,5,3,8,8562259,9.34,Africa
243,1988,Seoul,Republic of Korea,Argentina,ARG,0,7,2,9,18,17,35,31668939,11.05,South America
244,1988,Seoul,Republic of Korea,Australia,AUS,23,34,38,95,148,27,175,16532200,105.85,Oceania
245,1988,Seoul,Republic of Korea,Austria,AUT,13,7,15,35,37,6,43,7585317,56.69,Europe
246,1988,Seoul,Republic of Korea,Bahamas,BAH,0,0,0,0,2,2,4,,,North America
247,1988,Seoul,Republic of Korea,Bahrain,BRN,1,1,1,3,11,0,11,465198,236.46,Asia
248,1988,Seoul,Republic of Korea,Belgium,BEL,15,18,8,41,46,8,54,9901664,54.54,Europe
249,1988,Seoul,Republic of Korea,Brazil,BRA,4,9,14,27,47,12,59,143627505,4.11,South America
250,1988,Seoul,Republic of Korea,Bulgaria,BUL,2,1,0,3,8,0,8,8981446,8.91,Europe
251,1988,Seoul,Republic of Korea,Canada,CAN,55,42,55,152,104,53,157,26791747,58.6,North America
252,1988,Seoul,Republic of Korea,People's Republic of China,CHN,16,17,8,41,27,14,41,1101630000,0.37,Asia
253,1988,Seoul,Republic of Korea,Colombia,COL,0,0,0,0,16,0,16,31822527,5.03,South America
254,1988,Seoul,Republic of Korea,Cyprus,CYP,0,0,0,0,6,0,6,736476,81.47,Europe
255,1988,Seoul,Republic of Korea,Czechoslovakia,TCH,0,1,0,1,1,0,1,,,Europe
256,1988,Seoul,Republic of Korea,Denmark,DEN,23,19,22,64,27,21,48,5129516,93.58,Europe
257,1988,Seoul,Republic of Korea,Egypt,EGY,1,3,3,7,45,1,46,53399243,8.61,Africa
258,1988,Seoul,Republic of Korea,Faroe Islands,FRO,1,3,3,7,1,3,4,46833,854.1,Europe
259,1988,Seoul,Republic of Korea,Finland,FIN,11,23,16,50,50,11,61,4946481,123.32,Europe
260,1988,Seoul,Republic of Korea,France,FRA,46,44,50,140,95,21,116,57627106,20.13,Europe
261,1988,Seoul,Republic of Korea,Great Britain,GBR,65,65,54,184,169,55,224,56928327,39.35,Europe
262,1988,Seoul,Republic of Korea,Greece,GRE,0,1,3,4,4,0,4,10036983,3.99,Europe
263,1988,Seoul,Republic of Korea,Guatemala,GUA,1,0,0,1,1,0,1,8566331,1.17,North America
264,1988,Seoul,Republic of Korea,"Hong Kong, China",HKG,0,2,7,9,31,11,42,5627600,74.63,Asia
265,1988,Seoul,Republic of Korea,Hungary,HUN,0,5,7,12,31,3,34,10596487,32.09,Europe
266,1988,Seoul,Republic of Korea,Iceland,ISL,2,2,7,11,9,5,14,249740,560.58,Europe
267,1988,Seoul,Republic of Korea,India,IND,0,0,0,0,1,1,2,837468938,0.02,Asia
268,1988,Seoul,Republic of Korea,Indonesia,INA,0,2,0,2,17,2,19,174975953,1.09,Asia
269,1988,Seoul,Republic of Korea,Islamic Republic of Iran,IRI,4,1,3,8,36,0,36,53077312,6.78,Asia
270,1988,Seoul,Republic of Korea,Ireland,IRL,13,11,18,42,42,11,53,3524949,150.36,Europe
271,1988,Seoul,Republic of Korea,Israel,ISR,15,14,16,45,47,15,62,4442000,139.58,Asia
272,1988,Seoul,Republic of Korea,Italy,ITA,16,15,27,58,69,26,95,56629288,16.78,Europe
273,1988,Seoul,Republic of Korea,Jamaica,JAM,1,4,3,8,2,3,5,2389415,20.93,North America
274,1988,Seoul,Republic of Korea,Japan,JPN,17,12,17,46,109,34,143,122578000,11.67,Asia
275,1988,Seoul,Republic of Korea,Jordan,JOR,0,0,0,0,5,2,7,3256552,21.5,Asia
276,1988,Seoul,Republic of Korea,Kenya,KEN,0,4,1,5,9,3,12,22153685,5.42,Africa
277,1988,Seoul,Republic of Korea,Republic of Korea,KOR,40,35,19,94,205,21,226,42031247,53.77,Asia
278,1988,Seoul,Republic of Korea,Kuwait,KUW,5,5,7,17,27,3,30,2034850,147.43,Asia
279,1988,Seoul,Republic of Korea,Liechtenstein,LIE,0,0,0,0,1,1,2,28135,710.86,Europe
280,1988,Seoul,Republic of Korea,"Macao, China",MAC,0,0,0,0,6,1,7,,,Asia
281,1988,Seoul,Republic of Korea,Malaysia,MAS,0,0,1,1,12,2,14,17022470,8.22,Asia
282,1988,Seoul,Republic of Korea,Mexico,MEX,8,9,7,24,28,5,33,80788725,4.08,North America
283,1988,Seoul,Republic of Korea,Morocco,MAR,0,0,1,1,14,0,14,23903592,5.86,Africa
284,1988,Seoul,Republic of Korea,Netherlands,NED,30,24,29,83,76,34,110,14760094,74.53,Europe
285,1988,Seoul,Republic of Korea,New Zealand,NZL,2,4,11,17,11,5,16,3283400,48.73,Oceania
286,1988,Seoul,Republic of Korea,Norway,NOR,11,11,15,37,28,6,34,4209488,80.77,Europe
287,1988,Seoul,Republic of Korea,Oman,OMA,0,0,0,0,9,0,9,1678119,53.63,Asia
288,1988,Seoul,Republic of Korea,Philippines,PHI,0,0,0,0,4,0,4,58794999,0.68,Asia
289,1988,Seoul,Republic of Korea,Poland,POL,23,25,33,81,39,7,46,37824487,12.16,Europe
290,1988,Seoul,Republic of Korea,Portugal,POR,3,5,6,14,7,6,13,10019610,12.97,Europe
291,1988,Seoul,Republic of Korea,Puerto Rico,PUR,1,2,0,3,12,1,13,3473898,37.42,North America
292,1988,Seoul,Republic of Korea,Singapore,SGP,0,0,0,0,7,1,8,2846108,28.11,Asia
293,1988,Seoul,Republic of Korea,Spain,ESP,18,13,12,43,42,8,50,38766939,12.9,Europe
294,1988,Seoul,Republic of Korea,Sweden,SWE,42,38,23,103,79,24,103,8436489,122.09,Europe
295,1988,Seoul,Republic of Korea,Switzerland,SUI,12,12,11,35,33,8,41,6593386,62.18,Europe
296,1988,Seoul,Republic of Korea,Thailand,THA,0,1,0,1,10,0,10,54891520,1.82,Asia
297,1988,Seoul,Republic of Korea,Trinidad and Tobago,TTO,0,0,0,0,4,0,4,1204150,33.22,North America
298,1988,Seoul,Republic of Korea,Tunisia,TUN,0,0,2,2,1,0,1,7880333,1.27,Africa
299,1988,Seoul,Republic of Korea,United States of America,USA,91,90,88,269,253,118,371,244499000,15.17,North America
300,1988,Seoul,Republic of Korea,USSR,URS,21,20,15,56,16,6,22,,,Europe
301,1988,Seoul,Republic of Korea,West Germany,FRG,76,65,52,193,145,43,188,,,Europe
302,1988,Seoul,Republic of Korea,Yugoslavia,YUG,4,4,11,19,30,4,34,,,Europe
303,1992,Barcelona,Spain,Algeria,ALG,0,0,0,0,8,0,8,27028330,2.96,Africa
304,1992,Barcelona,Spain,Argentina,ARG,1,1,0,2,26,1,27,33529320,8.05,South America
305,1992,Barcelona,Spain,Australia,AUS,24,27,25,76,93,41,134,17495000,76.59,Oceania
306,1992,Barcelona,Spain,Austria,AUT,5,4,13,22,31,5,36,7840709,45.91,Europe
307,1992,Barcelona,Spain,Bahrain,BRN,0,0,1,1,4,0,4,523082,76.47,Asia
308,1992,Barcelona,Spain,Belarus,BLR,0,0,0,0,1,0,1,10216000,0.98,Europe
309,1992,Barcelona,Spain,Belgium,BEL,5,5,7,17,64,9,73,10045158,72.67,Europe
310,1992,Barcelona,Spain,Brazil,BRA,3,0,4,7,31,10,41,154259382,2.66,South America
311,1992,Barcelona,Spain,Bulgaria,BUL,1,2,0,3,5,2,7,8540164,8.2,Europe
312,1992,Barcelona,Spain,Burkina Faso,BUR,0,0,0,0,3,0,3,9297110,3.23,Africa
313,1992,Barcelona,Spain,Canada,CAN,28,21,26,75,89,49,138,28371264,48.64,North America
314,1992,Barcelona,Spain,Chile,CHI,0,0,0,0,2,0,2,13719818,1.46,South America
315,1992,Barcelona,Spain,People's Republic of China,CHN,11,7,7,25,13,11,24,1164970000,0.21,Asia
316,1992,Barcelona,Spain,Chinese Taipei,TPE,0,0,1,1,10,1,11,,,Asia
317,1992,Barcelona,Spain,Colombia,COL,0,0,0,0,4,2,6,34422568,1.74,South America
318,1992,Barcelona,Spain,Costa Rica,CRC,0,0,0,0,2,0,2,3286525,6.09,North America
319,1992,Barcelona,Spain,Croatia,CRO,0,0,1,1,5,1,6,4575818,13.11,Europe
320,1992,Barcelona,Spain,Cuba,CUB,3,3,3,9,10,0,10,10736386,9.31,North America
321,1992,Barcelona,Spain,Cyprus,CYP,0,0,0,0,4,0,4,800610,49.96,Europe
322,1992,Barcelona,Spain,Czechoslovakia,TCH,4,3,6,13,24,5,29,,,Europe
323,1992,Barcelona,Spain,Denmark,DEN,12,22,12,46,22,21,43,5171370,83.15,Europe
324,1992,Barcelona,Spain,Dominican Republic,DOM,0,0,0,0,1,0,1,7408339,1.35,North America
325,1992,Barcelona,Spain,Ecuador,ECU,0,0,0,0,3,0,3,10716131,2.8,South America
326,1992,Barcelona,Spain,Egypt,EGY,7,6,7,20,41,0,41,58666812,6.99,Africa
327,1992,Barcelona,Spain,Estonia,EST,0,2,1,3,2,4,6,1533091,39.14,Europe
328,1992,Barcelona,Spain,Faroe Islands,FRO,0,1,0,1,1,2,3,46746,641.77,Europe
329,1992,Barcelona,Spain,Finland,FIN,8,6,11,25,54,13,67,5041992,132.88,Europe
330,1992,Barcelona,Spain,France,FRA,36,36,34,106,106,39,145,58851216,24.64,Europe
331,1992,Barcelona,Spain,Germany,GER,61,51,59,171,174,64,238,80624598,29.52,Europe
332,1992,Barcelona,Spain,Great Britain,GBR,40,47,41,128,156,52,208,57580402,36.12,Europe
333,1992,Barcelona,Spain,Greece,GRE,0,2,1,3,7,0,7,10399061,6.73,Europe
334,1992,Barcelona,Spain,"Hong Kong, China",HKG,3,4,4,11,16,5,21,5800500,36.2,Asia
335,1992,Barcelona,Spain,Hungary,HUN,4,3,4,11,34,9,43,10369341,41.47,Europe
336,1992,Barcelona,Spain,Iceland,ISL,3,2,12,17,8,4,12,261057,459.67,Europe
337,1992,Barcelona,Spain,Independent Paralympic Participants,IPP,4,3,1,8,13,3,16,,,Others
338,1992,Barcelona,Spain,India,IND,0,0,0,0,7,2,9,909307018,0.1,Asia
339,1992,Barcelona,Spain,Islamic Republic of Iran,IRI,1,2,1,4,25,4,29,58780376,4.93,Asia
340,1992,Barcelona,Spain,Iraq,IRQ,0,0,1,1,18,0,18,18402740,9.78,Asia
341,1992,Barcelona,Spain,Ireland,IRL,0,3,4,7,40,18,58,3558430,162.99,Europe
342,1992,Barcelona,Spain,Israel,ISR,2,4,5,11,56,6,62,5123000,121.02,Asia
343,1992,Barcelona,Spain,Italy,ITA,10,7,18,35,69,18,87,56797087,15.32,Europe
344,1992,Barcelona,Spain,Jamaica,JAM,0,1,2,3,2,2,4,2461047,16.25,North America
345,1992,Barcelona,Spain,Japan,JPN,8,7,15,30,54,22,76,124425000,6.11,Asia
346,1992,Barcelona,Spain,Kenya,KEN,1,0,1,2,9,6,15,25326080,5.92,Africa
347,1992,Barcelona,Spain,Republic of Korea,KOR,11,15,18,44,64,2,66,43747962,15.09,Asia
348,1992,Barcelona,Spain,Kuwait,KUW,1,3,1,5,21,3,24,,,Asia
349,1992,Barcelona,Spain,Latvia,LAT,0,0,0,0,2,0,2,2614338,7.65,Europe
350,1992,Barcelona,Spain,Liechtenstein,LIE,0,0,0,0,3,0,3,29552,"1,015.16",Europe
351,1992,Barcelona,Spain,Lithuania,LTU,0,4,3,7,1,3,4,3700114,10.81,Europe
352,1992,Barcelona,Spain,Luxembourg,LUX,0,0,0,0,2,0,2,392175,51,Europe
353,1992,Barcelona,Spain,"Macao, China",MAC,0,0,0,0,2,0,2,,,Asia
354,1992,Barcelona,Spain,Malaysia,MAS,0,1,2,3,10,0,10,19002660,5.26,Asia
355,1992,Barcelona,Spain,Mexico,MEX,0,1,10,11,9,10,19,87075136,2.18,North America
356,1992,Barcelona,Spain,Morocco,MAR,0,0,0,0,5,0,5,25711410,1.94,Africa
357,1992,Barcelona,Spain,Myanmar,MYA,0,0,0,0,1,0,1,42401686,0.24,Asia
358,1992,Barcelona,Spain,Namibia,NAM,0,0,0,0,0,2,2,1516951,13.18,Africa
359,1992,Barcelona,Spain,Netherlands,NED,14,14,11,39,72,27,99,15184166,65.2,Europe
360,1992,Barcelona,Spain,New Zealand,NZL,5,1,0,6,9,4,13,3531700,36.81,Oceania
361,1992,Barcelona,Spain,Nigeria,NGR,3,0,0,3,6,0,6,100161708,0.6,Africa
362,1992,Barcelona,Spain,Norway,NOR,13,13,7,33,33,5,38,4286401,88.65,Europe
